_id,Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,Labelled energy consumption (kWh/year),SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number,Regulatory Standard
2917,164267,KOGAN,KAQL85XQ98GSVC,KAQL85XQ98GS series,"Australia,Fiji,New Zealand",China,214.783,19712.16,LCD (LED),-,-,-,226.38,N/A,N/A,868.0,Approved,2029-09-02,,Single product class,Available,4.5,,,4.5261882460425475,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6303,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2918,164267,KOGAN,KAQL85XQ98GS series,KAQL85XQ98GS series,"Australia,Fiji,New Zealand",China,214.783,19712.16,LCD (LED),-,-,-,226.38,N/A,N/A,868.0,Approved,2029-09-02,,Single product class,Available,4.5,,,4.5261882460425475,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6303,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2919,164364,KOGAN,KALED32F98VA,KALED32F98 series,"Australia,Fiji,New Zealand",China,79.967,2732.2400000000002,LCD (LED),-,-,-,37.86,N/A,N/A,152.0,Approved,2029-09-05,,Single product class,Available,4.0,,,4.3445623134294555,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6305,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2920,164364,KOGAN,KALED32F98VB,KALED32F98 series,"Australia,Fiji,New Zealand",China,79.967,2732.2400000000002,LCD (LED),-,-,-,37.86,N/A,N/A,152.0,Approved,2029-09-05,,Single product class,Available,4.0,,,4.3445623134294555,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6305,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2921,164364,KOGAN,KALED32F98VC,KALED32F98 series,"Australia,Fiji,New Zealand",China,79.967,2732.2400000000002,LCD (LED),-,-,-,37.86,N/A,N/A,152.0,Approved,2029-09-05,,Single product class,Available,4.0,,,4.3445623134294555,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6305,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2922,164364,KOGAN,KALED32F98 series,KALED32F98 series,"Australia,Fiji,New Zealand",China,79.967,2732.2400000000002,LCD (LED),-,-,-,37.86,N/A,N/A,152.0,Approved,2029-09-05,,Single product class,Available,4.0,,,4.3445623134294555,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6305,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2923,164495,TECO,LED32IHRK,,"Australia,Fiji,New Zealand",China,79.88,2728.32,LCD (LED),0.32,0.0,0.0,35.6,N/A,N/A,140.0,Approved,2029-09-17,,Single product class,Available,4.5,http://www.teco.com.au/,http://www.teco.com.au/,4.707985055307133,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6309,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2924,164513,HYUNDAI,H50UHDQLDZEN,,Australia,China,125.731,6754.867344,LCD (LED),-,-,-,61.524,N/A,N/A,227.0,Approved,2029-09-15,,Single product class,Available,6.0,,,6.023006759011338,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6307,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2925,164519,HYUNDAI,H55UHDQLDZEN,,"Australia,Fiji,New Zealand",China,138.783,8230.118400000001,LCD (LED),-,-,-,72.83,N/A,N/A,268.0,Approved,2029-09-17,,Single product class,Available,6.0,,,6.088069894655924,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6308,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2926,164532,HYUNDAI,H65UHDQLDZEN,,"Australia,Fiji,New Zealand",China,165.332,11723.899696,LCD (LED),-,-,-,101.54,N/A,N/A,373.0,Approved,2029-09-17,,Single product class,Available,6.0,,,6.086236121577596,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6310,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2927,164534,HYUNDAI,H75UHDQLDZEN,,"Australia,Fiji,New Zealand",China,189.34,15318.517823999999,LCD (LED),-,-,-,130.146,N/A,N/A,477.0,Approved,2029-12-12,,Single product class,Available,6.0,,,6.122892040404269,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6403,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2928,164539,Altius,AT32HDW2-BCF,,Australia,China,80.043,2737.0770999999995,LCD (LED),-,-,-,27.036,N/A,N/A,102.0,Approved,2029-10-21,,Single product class,Available,6.0,,,6.138546025859608,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6330,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2929,164582,AIWA,AWS420W,,Australia,China,105.415,4682.676096,LCD (LED),0.39,0.5,4.0,51.78,N/A,N/A,210.0,Approved,2029-09-19,,Single product class,Available,4.5,,,4.912410403406469,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6312,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2930,164586,Kogan,KAQL86T96QA,**********86**********,"Australia,Fiji,New Zealand","China,Vietnam",217.518,20200.367070000004,LCD (LED),-,-,-,298.5,N/A,N/A,1117.0,Approved,2029-09-22,,Single product class,Available,3.5,,http://www.kogan.com/au/,3.5018497413173733,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6313,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2931,164586,Kogan,KAQL86T96QB,**********86**********,"Australia,Fiji,New Zealand","China,Vietnam",217.518,20200.367070000004,LCD (LED),-,-,-,298.5,N/A,N/A,1117.0,Approved,2029-09-22,,Single product class,Available,3.5,,http://www.kogan.com/au/,3.5018497413173733,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6313,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2932,164586,Kogan,KAQL86T96QC,**********86**********,"Australia,Fiji,New Zealand","China,Vietnam",217.518,20200.367070000004,LCD (LED),-,-,-,298.5,N/A,N/A,1117.0,Approved,2029-09-22,,Single product class,Available,3.5,,http://www.kogan.com/au/,3.5018497413173733,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6313,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2933,164586,Kogan,KAQL86T96QD,**********86**********,"Australia,Fiji,New Zealand","China,Vietnam",217.518,20200.367070000004,LCD (LED),-,-,-,298.5,N/A,N/A,1117.0,Approved,2029-09-22,,Single product class,Available,3.5,,http://www.kogan.com/au/,3.5018497413173733,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6313,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2934,164586,Kogan,**********86**********,**********86**********,"Australia,Fiji,New Zealand","China,Vietnam",217.518,20200.367070000004,LCD (LED),-,-,-,298.5,N/A,N/A,1117.0,Approved,2029-09-22,,Single product class,Available,3.5,,http://www.kogan.com/au/,3.5018497413173733,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Digital,AS/NZS 62087.1:2010,ATV6313,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2935,164636,BAUHN,ATV43FHDW-1124,ATV43FHDW-****,Australia,China,107.978,4982.1834,LCD,0.4,0.0,0.0,44.2,N/A,N/A,172.0,Approved,2029-10-31,,Single product class,Available,6.0,,http://www.tempoaustralia.com,6.04961468920546,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6337,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2936,164639,EKO,K55USW3,,"Australia,Fiji,New Zealand",China,138.783,8230.118400000001,LCD (LED),-,-,-,102.0,N/A,N/A,379.0,Approved,2029-09-29,,Single product class,Available,4.5,http://www.ayonz.com/,,4.53503722787905,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV6314,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
2937,156532,EKO,K650UAT,K650UAT,"Australia,Fiji,New Zealand",China,163.878,11481.120000000003,LCD,0.34,0.0,0.0,147.21,N/A,N/A,540.0,Approved,2028-09-06,,Single product class,Available,4.0,http://www.ayonz.com/,,4.339714643878866,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV5770,Greenhouse and Energy Minimum Standards (Televisions) Determination 2013
